Title,Available Globally,Release Date,Hours Viewed
The Night Agent: Season 1,Yes,3/23/2023,812100000
Ginny & Georgia: Season 2,Yes,1/5/2023,665100000
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,12/30/2022,622800000
Wednesday: Season 1,Yes,11/23/2022,507700000
Queen Charlotte: A Bridgerton Story,Yes,5/4/2023,503000000
You: Season 4,Yes,2/9/2023,440600000
La Reina del Sur: Season 3,No,12/30/2022,429600000
Outer Banks: Season 3,Yes,2/23/2023,402500000
Ginny & Georgia: Season 1,Yes,2/24/2021,302100000
FUBAR: Season 1,Yes,5/25/2023,266200000
Manifest: Season 4,Yes,11/4/2022,262600000
Kaleidoscope: Limited Series,Yes,1/1/2023,252500000
Firefly Lane: Season 2,Yes,12/2/2022,251500000
The Mother,Yes,5/12/2023,249900000
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,1/24/2023,235000000
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,1/14/2023,234800000
Love Is Blind: Season 4,Yes,3/24/2023,229700000
BEEF: Season 1,Yes,4/6/2023,221100000
The Diplomat: Season 1,Yes,4/20/2023,214100000
Luther: The Fallen Sun,Yes,3/10/2023,209700000
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,5/31/2023,206500000
Vikings: Valhalla: Season 2,Yes,1/12/2023,205500000
Extraction 2,Yes,6/16/2023,201800000
"XO, Kitty: Season 1",Yes,5/18/2023,200700000
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,4/15/2023,194700000
Shadow and Bone: Season 2,Yes,3/16/2023,192900000
Outer Banks: Season 1,Yes,4/15/2020,184000000
Sweet Tooth: Season 2,Yes,4/27/2023,182300000
You People,Yes,1/27/2023,181800000
Perfect Match: Season 1,Yes,2/14/2023,176800000
Sex/Life: Season 2,Yes,3/2/2023,175500000
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,4/19/2023,174300000
Murder Mystery 2,Yes,3/31/2023,173600000
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,6/14/2023,172400000
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000
Never Have I Ever: Season 4,Yes,6/8/2023,168300000
Your Place or Mine,Yes,2/10/2023,163000000
Chiquititas (2013),No,,162000000
Emily in Paris: Season 3,Yes,12/21/2022,161100000
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,12/22/2022,157600000
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,6/18/2022,155300000
Outer Banks: Season 2,Yes,7/30/2021,153900000
New Amsterdam (2018): Season 1,No,,153000000
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,10/19/2022,152100000
Mr. Queen // 철인왕후,No,,151500000
Manifest: Season 1,No,6/10/2021,151400000
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,12/10/2022,150200000
PAW Patrol: Season 6,No,,149300000
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,4/26/2023,148600000
The Recruit: Season 1,Yes,12/16/2022,146900000
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,6/9/2023,146700000
Glass Onion: A Knives Out Mystery,Yes,12/23/2022,142900000
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,3/1/2023,140100000
Black Mirror: Season 6,Yes,6/15/2023,139900000
Triptych: Season 1 // Tríada: Temporada 1,Yes,2/22/2023,139300000
The Walking Dead: Season 11,No,,136800000
Bridgerton: Season 1,Yes,12/25/2020,136600000
CoComelon: Season 1,No,5/31/2020,136200000
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,6/29/2022,135900000
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,1/27/2023,134800000
Stranger Things 4,Yes,5/27/2022,133600000
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,4/20/2022,133500000
Bridgerton: Season 2,Yes,3/25/2022,133400000
Little Angel: Volume 1,Yes,,132100000
PAW Patrol: Season 5,No,,130700000
Pasión de Gavilanes: Season 1,No,,129200000
Suits (2011): Season 1,Yes,,129100000
Sex/Life: Season 1,Yes,6/25/2021,126400000
We Have a Ghost,Yes,2/24/2023,124400000
You: Season 1,Yes,12/26/2018,123500000
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2/28/2022,120700000
The Pale Blue Eye,Yes,1/6/2023,120500000
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,12/14/2019,120300000
AKA,Yes,4/28/2023,120000000
MH370: The Plane That Disappeared: Limited Series,Yes,3/8/2023,118900000
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,4/14/2023,118600000
Vikings: Valhalla: Season 1,Yes,2/25/2022,116500000
Breaking Bad: Season 2,No,,116200000
Muted: Limited Series // El silencio: Miniserie,Yes,5/19/2023,115800000
Lockwood & Co.: Season 1,Yes,1/27/2023,113600000
You: Season 3,Yes,10/15/2021,107200000
Breaking Bad: Season 5,No,,107000000
Suits (2011): Season 2,Yes,,106600000
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2/22/2023,104600000
