HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,TravelGroupSize,Deck,Num,Side
Europa,False,TRAPPIST-1e,39,False,0,0,0,0,0,False,1,B,0,P
Earth,False,TRAPPIST-1e,24,False,109,9,25,549,44,True,1,F,0,S
Europa,False,TRAPPIST-1e,58,True,43,3576,0,6715,49,False,2,A,0,S
Europa,False,TRAPPIST-1e,33,False,0,1283,371,3329,193,False,2,A,0,S
Earth,False,TRAPPIST-1e,16,False,303,70,151,565,2,True,1,F,1,S
Earth,False,PSO J318.5-22,44,False,0,483,0,291,0,True,1,F,0,P
Earth,False,TRAPPIST-1e,26,False,42,1539,3,0,0,True,2,F,2,S
Earth,True,TRAPPIST-1e,28,False,0,0,0,0,0,True,2,G,0,S
Earth,False,TRAPPIST-1e,35,False,0,785,17,216,0,True,1,F,3,S
Europa,True,55 Cancri e,14,False,0,0,0,0,0,True,3,B,1,P
Europa,True,TRAPPIST-1e,34,False,0,0,0,0,0,True,3,B,1,P
Europa,False,55 Cancri e,45,False,39,7295,589,110,124,True,3,B,1,P
Mars,False,TRAPPIST-1e,32,False,73,0,1123,0,113,True,1,F,1,P
Earth,False,TRAPPIST-1e,48,False,719,1,65,0,24,False,1,G,1,S
Earth,False,TRAPPIST-1e,28,False,8,974,12,2,7,True,1,F,2,P
Earth,False,TRAPPIST-1e,31,False,32,0,876,0,0,False,1,,,
Mars,False,55 Cancri e,27,False,1286,122,0,0,0,False,1,F,3,P
Earth,False,55 Cancri e,24,False,0,1,0,0,637,False,1,F,4,P
Mars,True,TRAPPIST-1e,45,False,0,0,0,0,0,True,1,F,5,P
Earth,False,TRAPPIST-1e,0,False,0,0,0,0,0,True,2,G,0,P
Earth,False,55 Cancri e,14,False,412,0,1,0,679,False,2,F,6,P
Earth,True,TRAPPIST-1e,1,False,0,0,0,0,0,False,6,E,0,S
Earth,True,55 Cancri e,49,False,0,0,0,0,0,False,6,E,0,S
Earth,True,55 Cancri e,29,False,0,0,0,0,0,False,6,E,0,S
Earth,False,TRAPPIST-1e,10,False,0,0,0,0,0,True,6,E,0,S
Earth,True,PSO J318.5-22,1,False,0,0,0,0,0,False,6,E,0,S
Earth,False,TRAPPIST-1e,7,False,0,0,0,0,0,False,6,E,0,S
Mars,False,TRAPPIST-1e,21,False,980,2,69,0,0,False,1,D,0,P
Europa,True,TRAPPIST-1e,62,False,0,0,0,0,0,True,1,C,2,S
Earth,False,TRAPPIST-1e,15,False,0,225,0,998,0,False,1,F,6,S
Europa,False,55 Cancri e,34,False,22,6073,0,1438,328,False,1,C,0,P
Mars,False,TRAPPIST-1e,43,False,1125,0,136,48,0,False,1,F,8,P
Earth,False,TRAPPIST-1e,32,False,0,850,81,437,453,False,1,G,4,S
Mars,False,TRAPPIST-1e,47,False,214,0,1411,0,1229,True,3,F,9,P
Mars,False,TRAPPIST-1e,2,False,0,0,0,0,0,True,3,F,9,P
Mars,False,TRAPPIST-1e,20,False,0,0,1750,990,0,True,3,F,9,P
Europa,True,55 Cancri e,28,False,0,0,0,0,0,True,1,D,1,S
Mars,False,55 Cancri e,23,False,784,964,0,951,0,False,1,D,1,P
Earth,False,55 Cancri e,15,True,0,492,48,20,401,False,1,F,8,S
Earth,False,55 Cancri e,20,False,554,195,0,2606,0,False,1,F,10,S
Earth,True,55 Cancri e,30,False,0,0,0,0,0,False,1,G,1,P
Earth,True,TRAPPIST-1e,17,False,0,0,0,0,0,True,1,G,2,P
Europa,False,TRAPPIST-1e,45,False,0,164,45,2511,855,False,1,B,3,P
Earth,True,TRAPPIST-1e,55,False,0,0,0,0,0,False,3,G,3,P
Earth,True,55 Cancri e,4,False,0,0,0,0,0,True,3,G,3,P
Earth,True,PSO J318.5-22,21,False,0,0,0,0,0,True,3,G,3,P
Mars,False,TRAPPIST-1e,21,False,970,0,180,0,64,False,2,F,10,P
Mars,True,,19,False,0,0,0,0,0,True,2,F,10,P
Earth,False,55 Cancri e,35,False,790,0,0,0,0,False,1,E,1,S
Earth,False,TRAPPIST-1e,56,False,0,112,0,1379,127,False,1,E,2,S
Earth,False,TRAPPIST-1e,28,False,4,0,2,4683,0,False,1,G,6,S
Earth,False,TRAPPIST-1e,25,False,0,0,1938,0,1,True,1,F,11,S
Europa,False,TRAPPIST-1e,2,False,0,0,0,0,0,True,3,A,1,S
Europa,True,TRAPPIST-1e,38,False,0,0,0,0,0,True,3,A,1,S
Europa,False,TRAPPIST-1e,27,False,279,605,3374,286,3,True,3,A,1,S
Earth,True,PSO J318.5-22,36,False,0,0,0,0,0,False,1,G,7,S
Earth,False,TRAPPIST-1e,22,False,45,1096,148,1377,1,False,1,F,12,S
Earth,False,TRAPPIST-1e,62,False,0,592,0,17,25,False,1,F,13,S
Mars,True,TRAPPIST-1e,15,False,0,0,0,0,0,True,2,F,14,S
,True,TRAPPIST-1e,33,False,0,0,0,0,0,True,2,E,3,S
Earth,False,TRAPPIST-1e,62,False,1,153,197,0,460,False,1,G,6,P
Earth,True,PSO J318.5-22,0,False,0,0,0,0,0,True,3,G,10,S
Earth,False,TRAPPIST-1e,18,False,1,258,446,0,0,True,3,G,10,S
Earth,False,55 Cancri e,21,False,1946,37,0,0,24,False,3,F,15,S
Mars,False,TRAPPIST-1e,28,False,793,0,2,253,0,False,1,E,4,S
Earth,False,TRAPPIST-1e,42,False,887,0,9,6,0,True,1,F,16,S
Earth,False,TRAPPIST-1e,19,False,190,0,5,1,726,False,1,F,13,P
Earth,False,TRAPPIST-1e,17,False,16,2165,0,0,52,False,1,F,14,P
Earth,False,TRAPPIST-1e,14,False,0,1,0,0,1063,False,1,F,17,S
Mars,False,PSO J318.5-22,37,False,46,83,738,0,12,False,1,D,3,P
Europa,False,TRAPPIST-1e,42,False,1,8397,0,0,506,True,1,C,3,S
Mars,False,TRAPPIST-1e,27,False,147,0,1018,0,0,True,1,F,18,S
Mars,False,TRAPPIST-1e,28,False,14,0,1295,0,0,True,1,F,15,P
Europa,False,TRAPPIST-1e,38,False,0,5840,0,321,9654,False,1,C,4,S
Earth,True,TRAPPIST-1e,13,False,0,0,0,0,0,False,1,G,13,S
Mars,False,TRAPPIST-1e,42,False,7406,0,0,0,0,False,3,F,16,P
Mars,True,TRAPPIST-1e,2,False,0,0,0,0,0,True,3,F,16,P
Mars,False,TRAPPIST-1e,8,False,0,0,0,0,0,True,3,F,16,P
Earth,False,TRAPPIST-1e,24,False,688,0,0,0,17,True,1,G,14,S
Europa,True,TRAPPIST-1e,40,False,0,0,0,0,0,True,1,C,5,S
Earth,False,TRAPPIST-1e,43,False,211,0,0,638,513,False,1,F,17,P
Mars,True,PSO J318.5-22,45,False,0,0,0,0,0,True,1,E,5,S
Earth,True,TRAPPIST-1e,35,False,0,0,0,0,0,True,1,G,15,S
Earth,True,TRAPPIST-1e,26,False,0,0,0,0,0,True,2,G,16,S
Earth,False,TRAPPIST-1e,27,False,1,697,31,188,0,False,2,F,20,S
Earth,False,TRAPPIST-1e,19,False,0,0,670,1,34,False,3,G,9,P
Earth,True,TRAPPIST-1e,0,False,0,0,0,0,0,True,3,G,9,P
Earth,True,TRAPPIST-1e,3,False,0,0,0,0,0,True,3,G,9,P
Europa,False,TRAPPIST-1e,54,False,0,1208,0,3,637,False,1,A,2,S
Earth,False,TRAPPIST-1e,26,False,0,856,5,32,0,False,2,G,11,P
Earth,False,TRAPPIST-1e,26,False,0,2811,957,0,87,True,2,G,11,P
Earth,False,PSO J318.5-22,23,False,311,427,526,37,0,False,2,F,19,P
Earth,True,TRAPPIST-1e,2,False,0,0,0,0,0,True,2,G,12,P
Mars,True,TRAPPIST-1e,31,False,0,0,0,0,0,True,1,,,
Earth,False,TRAPPIST-1e,18,False,0,0,0,830,91,False,1,F,23,S
Earth,False,TRAPPIST-1e,24,False,0,0,0,0,17,True,3,F,24,S
Earth,True,55 Cancri e,9,False,0,0,0,0,0,True,3,G,18,S
Earth,True,TRAPPIST-1e,6,False,0,0,0,0,0,False,3,G,18,S
Earth,True,TRAPPIST-1e,27,False,0,0,570,2,131,False,1,F,21,P
Mars,False,TRAPPIST-1e,21,False,1743,5,17,0,0,False,1,D,2,S
Earth,True,TRAPPIST-1e,23,False,0,0,0,0,0,False,3,G,19,S
Earth,False,TRAPPIST-1e,31,False,562,0,326,0,0,False,3,G,19,S
Earth,False,TRAPPIST-1e,0,True,0,0,0,0,0,True,3,G,19,S
Europa,False,TRAPPIST-1e,32,False,0,410,6,3929,764,False,4,,,
Europa,True,TRAPPIST-1e,40,False,0,331,0,0,1687,False,4,B,5,P
Europa,False,TRAPPIST-1e,42,False,2209,11418,0,1868,445,True,4,B,5,P
Europa,True,TRAPPIST-1e,28,False,0,0,0,0,0,True,4,B,5,P
Europa,True,TRAPPIST-1e,29,False,0,0,0,0,0,True,1,E,6,S
Europa,False,55 Cancri e,48,True,0,2537,87,17,13,True,1,B,1,S
Earth,False,TRAPPIST-1e,64,False,0,0,804,0,0,True,1,F,23,P
Earth,False,TRAPPIST-1e,27,False,82,157,429,238,1,False,1,G,20,S
Mars,True,TRAPPIST-1e,26,False,0,0,0,0,0,True,1,F,24,P
Europa,False,TRAPPIST-1e,33,False,1,2223,0,12,404,True,1,D,4,P
,False,TRAPPIST-1e,39,False,0,2344,0,65,6898,False,2,A,0,P
Europa,True,TRAPPIST-1e,13,False,0,0,0,0,0,True,2,A,0,P
Mars,True,TRAPPIST-1e,24,False,0,0,0,0,0,True,1,F,25,P
Earth,False,TRAPPIST-1e,29,False,0,0,0,699,74,False,1,G,21,S
Earth,False,TRAPPIST-1e,18,False,55,597,49,0,1,False,1,F,27,P
Mars,True,TRAPPIST-1e,67,False,0,0,0,0,0,True,1,F,27,S
Mars,False,TRAPPIST-1e,35,False,701,0,296,0,25,False,1,E,7,S
Mars,False,TRAPPIST-1e,61,True,2353,334,9,316,2,False,2,D,3,S
Mars,False,TRAPPIST-1e,45,False,2103,6,0,0,0,False,2,E,8,S
Earth,True,PSO J318.5-22,22,False,0,0,0,0,0,True,1,G,22,S
Mars,True,TRAPPIST-1e,19,False,0,0,0,0,0,True,2,F,29,S
Mars,False,TRAPPIST-1e,36,False,2738,0,0,0,0,False,2,D,5,S
Earth,False,TRAPPIST-1e,19,False,0,14,730,0,0,True,1,G,17,P
Earth,False,PSO J318.5-22,47,False,97,418,126,25,55,False,1,G,23,S
Earth,True,TRAPPIST-1e,13,False,0,0,0,0,0,True,2,G,18,P
Earth,False,,34,False,0,22,0,564,207,False,2,E,5,P
Europa,True,55 Cancri e,35,False,0,0,0,0,0,True,1,C,6,S
Earth,True,TRAPPIST-1e,24,False,0,0,0,0,0,True,2,G,19,P
Earth,False,TRAPPIST-1e,26,False,440,0,0,0,462,False,2,F,29,P
Mars,False,TRAPPIST-1e,31,False,0,0,97,0,0,False,1,F,30,P
Earth,False,TRAPPIST-1e,20,False,0,420,210,0,0,True,1,F,31,S
Earth,False,TRAPPIST-1e,56,False,0,0,0,0,0,False,1,G,25,S
Earth,True,TRAPPIST-1e,50,False,0,0,0,0,0,True,1,G,26,S
Mars,False,TRAPPIST-1e,42,False,1072,0,10,0,76,False,1,F,31,P
Earth,True,55 Cancri e,28,False,0,0,0,0,0,True,1,G,27,S
Earth,True,55 Cancri e,38,False,0,0,0,0,0,False,1,G,20,P
Earth,False,,41,False,0,0,0,0,607,False,1,F,32,P
Earth,False,TRAPPIST-1e,22,False,4119,0,0,0,61,False,1,G,22,P
Europa,True,TRAPPIST-1e,26,False,0,0,0,0,0,True,2,B,8,P
Europa,True,TRAPPIST-1e,17,False,0,0,0,0,0,True,2,B,8,P
Earth,False,TRAPPIST-1e,57,False,50,1688,0,0,135,True,2,G,28,S
Earth,True,PSO J318.5-22,17,False,0,0,0,0,0,False,2,G,28,S
Mars,True,TRAPPIST-1e,35,True,0,0,0,0,0,True,1,F,37,P
Mars,True,TRAPPIST-1e,13,False,0,0,0,0,0,True,2,F,35,S
Mars,False,TRAPPIST-1e,27,False,1365,0,48,22,137,False,2,F,35,S
Earth,True,TRAPPIST-1e,31,False,0,0,0,0,0,False,1,G,23,P
Earth,False,TRAPPIST-1e,24,False,0,0,0,221,567,False,1,E,10,S
Earth,True,PSO J318.5-22,19,False,0,0,0,0,0,True,1,G,30,S
Earth,True,TRAPPIST-1e,32,False,0,0,0,0,0,True,1,G,24,P
Earth,True,TRAPPIST-1e,58,False,0,985,0,5,0,True,1,E,11,S
Earth,False,55 Cancri e,21,False,287,0,16,115,175,False,1,F,38,P
Europa,False,TRAPPIST-1e,38,False,0,10346,1,14970,2111,False,1,B,2,S
Mars,False,TRAPPIST-1e,38,False,3414,0,161,28,119,False,1,D,6,S
Earth,False,TRAPPIST-1e,19,False,1,219,673,2,11,True,3,G,26,P
Earth,False,TRAPPIST-1e,0,False,0,0,0,0,0,False,3,G,26,P
Earth,False,TRAPPIST-1e,3,False,0,0,0,0,0,True,3,G,26,P
Earth,False,TRAPPIST-1e,20,False,0,0,3,299,92,False,1,G,27,P
Europa,True,TRAPPIST-1e,24,False,0,0,0,0,0,True,1,C,3,P
Earth,False,TRAPPIST-1e,37,False,17,146,426,0,232,True,1,F,36,S
Earth,False,TRAPPIST-1e,25,False,62,0,0,0,956,False,1,G,28,P
Earth,True,TRAPPIST-1e,56,False,0,0,0,0,0,True,1,G,31,S
Earth,False,55 Cancri e,49,False,84,3,401,202,98,False,1,E,8,P
Earth,True,55 Cancri e,11,False,0,0,0,0,0,False,1,G,32,S
Earth,True,TRAPPIST-1e,1,False,0,0,0,0,0,True,3,G,29,P
Earth,False,TRAPPIST-1e,8,False,0,0,0,0,0,False,3,G,29,P
Earth,False,TRAPPIST-1e,39,False,0,0,10,898,0,False,3,G,29,P
Mars,True,TRAPPIST-1e,2,False,0,0,0,0,0,True,3,F,41,P
Mars,False,TRAPPIST-1e,23,False,0,0,8,1072,0,False,3,F,41,P
Mars,False,TRAPPIST-1e,0,False,0,0,0,0,0,True,3,F,41,P
Mars,False,TRAPPIST-1e,39,False,406,0,867,0,0,True,1,F,42,P
Mars,False,PSO J318.5-22,25,False,1052,0,719,0,7,False,1,D,5,P
Europa,False,TRAPPIST-1e,36,False,0,972,0,795,575,False,1,C,5,P
Earth,True,PSO J318.5-22,52,False,0,0,0,0,0,True,1,G,30,P
Earth,True,TRAPPIST-1e,18,False,0,0,0,0,0,False,1,G,33,S
Earth,True,TRAPPIST-1e,15,False,0,0,0,0,0,True,1,G,31,P
Europa,True,TRAPPIST-1e,35,False,0,0,0,0,0,True,2,B,3,S
Europa,True,TRAPPIST-1e,47,False,0,0,0,0,0,True,2,B,3,S
Europa,True,55 Cancri e,45,False,0,0,0,0,0,True,2,B,9,P
Europa,False,55 Cancri e,28,False,0,2433,0,878,443,True,2,A,2,P
Europa,True,TRAPPIST-1e,51,False,0,0,0,0,0,True,1,C,8,S
Earth,False,TRAPPIST-1e,29,False,0,2,66,0,705,False,1,G,34,S
Europa,False,55 Cancri e,28,False,2,1720,12,1125,122,True,1,C,9,S
Earth,True,PSO J318.5-22,19,False,0,0,0,0,0,False,1,G,32,P
,True,55 Cancri e,24,False,0,0,0,0,0,True,1,D,6,P
Mars,False,TRAPPIST-1e,29,False,902,1,137,0,0,True,3,F,44,P
Mars,True,TRAPPIST-1e,11,False,0,0,0,0,0,True,3,F,44,P
Mars,False,TRAPPIST-1e,17,False,848,0,307,182,0,False,3,F,44,P
Earth,False,TRAPPIST-1e,13,False,192,0,0,51,739,False,2,E,9,P
Earth,False,TRAPPIST-1e,35,False,147,188,0,10,387,False,2,F,45,P
Earth,False,TRAPPIST-1e,21,False,367,281,0,0,146,False,1,F,46,P
Earth,False,55 Cancri e,21,False,0,56,0,0,1918,False,1,F,40,S
Earth,False,TRAPPIST-1e,38,False,1517,0,0,27,0,False,1,F,47,P
Earth,True,TRAPPIST-1e,19,False,0,0,0,0,0,True,1,G,36,P
Earth,True,TRAPPIST-1e,2,False,0,0,0,0,0,True,7,G,37,P
Earth,False,TRAPPIST-1e,0,False,0,0,0,0,0,True,7,G,37,P
Earth,True,TRAPPIST-1e,13,False,0,0,0,0,0,False,7,G,37,P
Earth,False,TRAPPIST-1e,25,False,122,84,0,0,0,False,7,E,10,P
Earth,False,TRAPPIST-1e,16,False,0,3,0,0,1099,False,7,F,48,P
Earth,False,55 Cancri e,1,False,0,0,0,0,0,False,7,G,37,P
Earth,True,TRAPPIST-1e,15,False,0,0,0,0,0,True,7,G,37,P
Mars,False,55 Cancri e,21,False,2237,0,119,0,0,False,7,E,13,S
Mars,False,TRAPPIST-1e,23,False,1215,80,1,2,0,False,7,E,13,S
Mars,False,TRAPPIST-1e,33,False,1933,12,188,1,0,False,7,E,13,S
Mars,True,TRAPPIST-1e,21,False,0,0,0,0,0,True,7,E,13,S
Mars,False,TRAPPIST-1e,41,False,1230,0,301,43,1023,False,7,E,13,S
Mars,False,TRAPPIST-1e,16,False,915,0,221,234,0,False,7,E,13,S
Mars,True,TRAPPIST-1e,42,False,0,0,0,0,0,False,7,E,13,S
Mars,False,TRAPPIST-1e,20,False,1406,0,0,11,0,False,3,F,41,S
Mars,True,TRAPPIST-1e,24,False,0,0,0,0,0,True,3,F,41,S
Mars,True,TRAPPIST-1e,16,False,0,0,0,0,0,True,3,E,14,S
Earth,False,TRAPPIST-1e,21,False,0,2,665,0,9,False,1,G,35,S
Mars,False,TRAPPIST-1e,32,True,181,0,5,1634,0,False,1,F,42,S
Earth,True,PSO J318.5-22,58,False,0,0,0,0,0,True,1,G,38,P
Earth,False,TRAPPIST-1e,24,False,4,7,0,713,79,False,1,F,43,S
Mars,False,TRAPPIST-1e,30,False,85,0,1,1720,0,False,1,F,44,S
Earth,True,PSO J318.5-22,27,False,0,0,0,0,0,False,1,G,36,S
Mars,False,TRAPPIST-1e,32,False,56,0,256,1438,0,False,1,F,45,S
Earth,False,TRAPPIST-1e,43,False,0,888,0,0,0,False,1,F,50,P
Europa,True,TRAPPIST-1e,42,False,0,0,0,0,0,True,1,B,11,P
Mars,False,TRAPPIST-1e,37,False,637,0,0,92,319,False,1,,,
Mars,True,TRAPPIST-1e,35,False,0,0,0,0,0,True,1,F,52,P
Europa,True,55 Cancri e,33,False,0,1249,0,4812,1116,False,1,E,11,P
,False,TRAPPIST-1e,18,False,313,1,691,283,0,False,1,F,46,S
Earth,True,TRAPPIST-1e,21,False,0,0,0,0,0,False,1,G,37,S
Mars,True,TRAPPIST-1e,43,False,0,0,0,0,0,True,2,,,
Mars,True,55 Cancri e,14,True,0,0,0,0,0,True,2,F,47,S
Europa,False,55 Cancri e,46,False,0,3571,0,0,7,True,2,C,6,P
Europa,False,TRAPPIST-1e,33,False,0,86,796,584,10912,False,2,C,6,P
Mars,False,TRAPPIST-1e,21,False,2947,0,287,27,0,False,1,D,8,P
Europa,False,TRAPPIST-1e,33,False,0,1,0,8620,1063,False,1,C,10,S
Earth,True,PSO J318.5-22,47,False,0,0,0,0,0,False,1,G,38,S
,True,55 Cancri e,54,False,0,0,0,0,0,True,1,C,11,S
Earth,False,TRAPPIST-1e,30,False,335,695,541,0,0,False,1,F,53,P
Earth,False,TRAPPIST-1e,29,False,272,615,0,0,1,False,1,G,42,P
Earth,False,TRAPPIST-1e,21,False,702,172,408,2,6,True,1,F,54,P
Europa,True,TRAPPIST-1e,24,False,0,0,0,0,0,True,1,A,3,S
Mars,False,55 Cancri e,21,False,1664,0,0,0,0,False,2,F,49,S
