HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,TravelGroupSize,Deck,Num,Side
Europa,False,TRAPPIST-1e,39,False,0,0,0,0,0,False,1,B,0.0,P
Earth,False,TRAPPIST-1e,24,False,109,9,25,549,44,True,1,F,0.0,S
Europa,False,TRAPPIST-1e,58,True,43,3576,0,6715,49,False,2,A,0.0,S
Europa,False,TRAPPIST-1e,33,False,0,1283,371,3329,193,False,2,A,0.0,S
Earth,False,TRAPPIST-1e,16,False,303,70,151,565,2,True,1,F,1.0,S
Earth,False,PSO J318.5-22,44,False,0,483,0,291,0,True,1,F,0.0,P
Earth,False,TRAPPIST-1e,26,False,42,1539,3,0,0,True,2,F,2.0,S
Earth,True,TRAPPIST-1e,28,False,0,0,0,0,0,True,2,G,0.0,S
Earth,False,TRAPPIST-1e,35,False,0,785,17,216,0,True,1,F,3.0,S
Europa,True,55 Cancri e,14,False,0,0,0,0,0,True,3,B,1.0,P
Europa,True,TRAPPIST-1e,34,False,0,0,0,0,0,True,3,B,1.0,P
Europa,False,55 Cancri e,45,False,39,7295,589,110,124,True,3,B,1.0,P
Mars,False,TRAPPIST-1e,32,False,73,0,1123,0,113,True,1,F,1.0,P
Earth,False,TRAPPIST-1e,48,False,719,1,65,0,24,False,1,G,1.0,S
Earth,False,TRAPPIST-1e,28,False,8,974,12,2,7,True,1,F,2.0,P
Earth,False,TRAPPIST-1e,31,False,32,0,876,0,0,False,1,,,
Mars,False,55 Cancri e,27,False,1286,122,0,0,0,False,1,F,3.0,P
Earth,False,55 Cancri e,24,False,0,1,0,0,637,False,1,F,4.0,P
Mars,True,TRAPPIST-1e,45,False,0,0,0,0,0,True,1,F,5.0,P
Earth,False,TRAPPIST-1e,0,False,0,0,0,0,0,True,2,G,0.0,P
Earth,False,55 Cancri e,14,False,412,0,1,0,679,False,2,F,6.0,P
Earth,True,TRAPPIST-1e,1,False,0,0,0,0,0,False,6,E,0.0,S
Earth,True,55 Cancri e,49,False,0,0,0,0,0,False,6,E,0.0,S
Earth,True,55 Cancri e,29,False,0,0,0,0,0,False,6,E,0.0,S
Earth,False,TRAPPIST-1e,10,False,0,0,0,0,0,True,6,E,0.0,S
Earth,True,PSO J318.5-22,1,False,0,0,0,0,0,False,6,E,0.0,S
Earth,False,TRAPPIST-1e,7,False,0,0,0,0,0,False,6,E,0.0,S
Mars,False,TRAPPIST-1e,21,False,980,2,69,0,0,False,1,D,0.0,P
Europa,True,TRAPPIST-1e,62,False,0,0,0,0,0,True,1,C,2.0,S
Earth,False,TRAPPIST-1e,15,False,0,225,0,998,0,False,1,F,6.0,S
Europa,False,55 Cancri e,34,False,22,6073,0,1438,328,False,1,C,0.0,P
Mars,False,TRAPPIST-1e,43,False,1125,0,136,48,0,False,1,F,8.0,P
Earth,False,TRAPPIST-1e,32,False,0,850,81,437,453,False,1,G,4.0,S
Mars,False,TRAPPIST-1e,47,False,214,0,1411,0,1229,True,3,F,9.0,P
Mars,False,TRAPPIST-1e,2,False,0,0,0,0,0,True,3,F,9.0,P
Mars,False,TRAPPIST-1e,20,False,0,0,1750,990,0,True,3,F,9.0,P
Europa,True,55 Cancri e,28,False,0,0,0,0,0,True,1,D,1.0,S
Mars,False,55 Cancri e,23,False,784,964,0,951,0,False,1,D,1.0,P
Earth,False,55 Cancri e,15,False,0,492,48,20,401,False,1,F,8.0,S
Earth,False,55 Cancri e,20,False,554,195,0,2606,0,False,1,F,10.0,S
Earth,True,55 Cancri e,30,False,0,0,0,0,0,False,1,G,1.0,P
Earth,True,TRAPPIST-1e,17,False,0,0,0,0,0,True,1,G,2.0,P
Europa,False,TRAPPIST-1e,45,False,0,164,45,2511,855,False,1,B,3.0,P
Earth,True,TRAPPIST-1e,55,False,0,0,0,0,0,False,3,G,3.0,P
Earth,True,55 Cancri e,4,False,0,0,0,0,0,True,3,G,3.0,P
Earth,True,PSO J318.5-22,21,False,0,0,0,0,0,True,3,G,3.0,P
Mars,False,TRAPPIST-1e,21,False,970,0,180,0,64,False,2,F,10.0,P
Mars,True,,19,False,0,0,0,0,0,True,2,F,10.0,P
Earth,False,55 Cancri e,35,False,790,0,0,0,0,False,1,E,1.0,S
Earth,False,TRAPPIST-1e,56,False,0,112,0,1379,127,False,1,E,2.0,S
Earth,False,TRAPPIST-1e,27,False,4,0,2,4683,0,False,1,G,6.0,S
Earth,False,TRAPPIST-1e,25,False,0,0,1938,0,1,True,1,F,11.0,S
Europa,False,TRAPPIST-1e,2,False,0,0,0,0,0,True,3,A,1.0,S
Europa,True,TRAPPIST-1e,38,False,0,0,0,0,0,True,3,A,1.0,S
Europa,False,TRAPPIST-1e,27,False,279,605,3374,286,3,True,3,A,1.0,S
Earth,True,PSO J318.5-22,36,False,0,0,0,0,0,False,1,G,7.0,S
Earth,False,TRAPPIST-1e,22,False,45,1096,148,1377,1,False,1,F,12.0,S
Earth,False,TRAPPIST-1e,62,False,0,592,0,17,25,False,1,F,13.0,S
Mars,True,TRAPPIST-1e,15,False,0,0,0,0,0,True,2,F,14.0,S
,True,TRAPPIST-1e,33,False,0,0,0,0,0,True,2,E,3.0,S
Earth,False,TRAPPIST-1e,62,False,1,153,197,0,460,False,1,G,6.0,P
Earth,True,PSO J318.5-22,0,False,0,0,0,0,0,True,3,G,10.0,S
Earth,False,TRAPPIST-1e,18,False,1,258,446,0,0,True,3,G,10.0,S
Earth,False,55 Cancri e,21,False,1946,37,0,0,24,False,3,F,15.0,S
Mars,False,TRAPPIST-1e,27,False,793,0,2,253,0,False,1,E,4.0,S
Earth,False,TRAPPIST-1e,42,False,887,0,9,6,0,True,1,F,16.0,S
Earth,False,TRAPPIST-1e,19,False,190,0,5,1,726,False,1,F,13.0,P
Earth,False,TRAPPIST-1e,17,False,16,2165,0,0,52,False,1,F,14.0,P
Earth,False,TRAPPIST-1e,14,False,0,1,0,0,1063,False,1,F,17.0,S
Mars,False,PSO J318.5-22,37,False,46,83,738,0,12,False,1,D,3.0,P
Europa,False,TRAPPIST-1e,42,False,1,8397,0,0,506,True,1,C,3.0,S
Mars,False,TRAPPIST-1e,27,False,147,0,1018,0,0,True,1,F,18.0,S
Mars,False,TRAPPIST-1e,28,False,14,0,1295,0,0,True,1,F,15.0,P
